
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag,S13_Real,S13_Imag
2600000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2602800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2605600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2608400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2611200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2614000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2616800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2619600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2622400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2625200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2628000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2630800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2633600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2636400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2639200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2642000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2644800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2647600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2650400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2653200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2656000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2658800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2661600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2664400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2667200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2670000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2672800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2675600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2678400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2681200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2684000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2686800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2689600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2692400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2695200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2698000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2700800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2703600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2706400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2709200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2712000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2714800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2717600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2720400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2723200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2726000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2728800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2731600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2734400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2737200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2740000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2742800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2745600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2748400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2751200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2754000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2756800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2759600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2762400000.0,1.0,0.0,1.0,0.0,1.0,0.0
2765200000.0,1.0,0.0,1.0,0.0,1.0,0.0
2768000000.0,1.0,0.0,1.0,0.0,1.0,0.0
2770800000.0,1.0,0.0,1.0,0.0,1.0,0.0
2773600000.0,1.0,0.0,1.0,0.0,1.0,0.0
2776400000.0,1.0,0.0,1.0,0.0,1.0,0.0
