
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag,S13_Real,S13_Imag,S14_Real,S14_Imag,S21_Real,S21_Imag
1000000000.0,-0.7122458,-0.5707133,-0.1039389,-0.5729702,0.3764277,0.4704849,0.18983,0.5445656,-8.571331e-05,1.189911e-05
1058000000.0,0.7899911,0.463614,0.5725254,0.08253137,-0.5932487,0.08119231,-0.5579307,-0.1285681,4.892103e-06,2.75567e-05
1116000000.0,-0.8153284,-0.3979692,-0.2622741,0.5188203,0.2380565,-0.5538855,0.4089256,-0.4054396,4.020263e-05,-7.344528e-06
1174000000.0,0.8471997,0.3124701,-0.4157375,-0.4148892,0.3645616,0.4888846,0.134579,0.5659912,-1.958666e-06,-5.695596e-06
1232000000.0,-0.8658119,-0.251114,0.526888,-0.2660559,-0.6075538,0.07271695,-0.5558924,-0.1781527,1.720806e-05,-1.23587e-05
1290000000.0,0.8964768,0.1421391,0.08763658,0.586207,0.2391295,-0.5654826,0.4412883,-0.3858083,-4.383369e-06,-1.520965e-05
1348000000.0,-0.893602,-0.05148645,-0.586881,-0.09999296,0.3727523,0.4915727,0.1017169,0.5798822,-1.839064e-05,1.608154e-07
1406000000.0,0.8959402,-0.0389589,0.2822295,-0.5217029,-0.6106749,0.06973337,-0.5425805,-0.2222047,1.098622e-05,7.427292e-06
1464000000.0,-0.8802993,0.1091644,0.4024308,0.4361507,0.2551734,-0.5566394,0.4812614,-0.334914,-6.183297e-06,-6.462195e-06
1522000000.0,0.881227,-0.1912525,-0.5490376,0.237156,0.335404,0.5130993,0.01807083,0.5903517,1.998827e-05,-4.36246e-06
1580000000.0,-0.8342744,0.3022024,-0.06782573,-0.5933565,-0.6090685,0.04351377,-0.5203431,-0.2752665,1.432302e-05,-2.632019e-06
1638000000.0,0.8026007,-0.3729187,0.5817453,0.1248048,0.2655621,-0.5473983,0.5009082,-0.3031772,2.085771e-05,5.795317e-06
1696000000.0,-0.7677481,0.4303399,-0.3035877,0.5109245,0.3431458,0.5015472,0.005170302,0.584666,1.157027e-05,-2.242648e-06
1754000000.0,0.7248456,-0.5282638,-0.3821141,-0.4579339,-0.6086236,0.03428371,-0.4980401,-0.3095435,-8.829014e-06,1.273109e-05
1812000000.0,-0.6485401,0.5926632,0.5598401,-0.2202667,0.2946716,-0.5393429,0.5358509,-0.2502018,1.159951e-05,-1.264911e-05
1870000000.0,0.6104541,-0.6377441,0.03423698,0.6061124,0.2894721,0.547853,-0.09592277,0.589282,1.866217e-05,-1.570842e-05
1928000000.0,-0.5217573,0.6945242,-0.5903748,-0.1616067,-0.6245487,-0.04616474,-0.4436449,-0.4084367,6.909833e-06,-6.038894e-06
1986000000.0,0.4723783,-0.7447968,0.3391632,-0.5142854,0.3459064,-0.5298535,0.5805627,-0.1784656,6.958718e-06,-3.15867e-05
2044000000.0,-0.3867838,0.7840686,0.3825886,0.4785319,0.3182195,0.5427981,-0.1134692,0.5916834,1.129223e-05,-4.430416e-06
2102000000.0,0.2982976,-0.822098,-0.561078,0.2005474,-0.6070321,0.03350338,-0.4474045,-0.3736676,-3.172832e-07,1.131308e-05
2160000000.0,-0.2321294,0.8275239,-0.002471866,-0.5902603,0.2747526,-0.5288808,0.5441291,-0.184908,6.705492e-06,-8.118506e-07
2218000000.0,0.1610391,-0.8661404,0.5588298,0.2009333,0.2865228,0.5213425,-0.1566327,0.5542665,-1.640228e-05,3.529019e-06
2276000000.0,-0.02177611,0.8635306,-0.3910939,0.4688649,-0.6029012,-0.06498028,-0.3671581,-0.4621972,1.626873e-05,1.889867e-05
2334000000.0,-0.0249478,-0.8652587,-0.3338469,-0.553405,0.3963017,-0.5013128,0.6198009,-0.05898473,-2.055963e-05,-2.714046e-06
2392000000.0,0.1010995,0.8564123,0.6509324,-0.1836177,0.2901016,0.6041965,-0.2370456,0.6033668,7.240716e-06,-9.370651e-07
2450000000.0,-0.210319,-0.8454148,0.01108952,0.6513357,-0.6504329,0.01888298,-0.4260421,-0.4563845,-8.796982e-06,4.708143e-06
2508000000.0,0.2699832,0.8116139,-0.5754215,-0.1914204,0.287688,-0.5376183,0.5722817,-0.1164463,1.789478e-05,7.995601e-06
2566000000.0,-0.366589,-0.7888005,0.3803635,-0.4544936,0.2657693,0.5346845,-0.2448052,0.5202876,5.7182e-06,3.41428e-06
2624000000.0,0.4417711,0.7220029,0.2932246,0.5281019,-0.5966153,-0.1211949,-0.2556293,-0.529432,9.746231e-06,7.602893e-07
2682000000.0,-0.4856298,-0.7096101,-0.6134081,0.1006774,0.459604,-0.4239253,0.593858,0.1166636,-2.349016e-06,-2.409947e-05
2740000000.0,0.5814232,0.6398421,0.1086323,-0.6320108,0.1309268,0.6306056,-0.4267355,0.4546148,1.290665e-05,6.661935e-06
2798000000.0,-0.6403038,-0.5650566,0.5783817,0.3045027,-0.6350101,-0.1660547,-0.2136563,-0.5967273,1.035359e-05,2.811078e-06
2856000000.0,0.6686192,0.5113824,-0.4721383,0.4420486,0.4198124,-0.4936704,0.6186942,0.07919872,-2.460471e-05,2.013968e-05
2914000000.0,-0.7387816,-0.4406145,-0.2443878,-0.606579,0.2227164,0.6090591,-0.3853897,0.4931519,-7.714332e-06,-1.606835e-05
2972000000.0,0.7847162,0.3244323,0.6854944,-0.02111442,-0.6613714,-0.1445296,-0.2082597,-0.6199343,3.962203e-06,-8.619975e-07
3030000000.0,-0.792594,-0.309185,-0.2040893,0.683179,0.5092264,-0.4870005,0.650463,0.1924223,6.288664e-06,2.101536e-05
3088000000.0,0.8251612,0.1818553,-0.604082,-0.4163402,0.1204187,0.7160423,-0.5470373,0.4311996,-1.09702e-05,6.216928e-06
3146000000.0,-0.8259262,-0.1209299,0.5976273,-0.455506,-0.687803,-0.2816588,-0.06891763,-0.7078004,-1.270829e-05,-1.450739e-05
3204000000.0,0.8436808,0.04205376,0.2512906,0.7218139,0.5983281,-0.4722798,0.6572806,0.3041077,-3.723313e-06,-9.608815e-06
3262000000.0,-0.8517725,0.0344648,-0.7676941,-0.0004775503,0.09736808,0.7711713,-0.6146859,0.3959584,-2.63185e-06,9.789273e-07
3320000000.0,0.8074622,-0.2012308,0.2757993,-0.7435233,-0.7408706,-0.3321978,-0.002972837,-0.7627176,1.523571e-05,-9.16498e-06
3378000000.0,-0.8186011,0.1681825,0.6512923,0.5394259,0.7320307,-0.4716886,0.6808005,0.4578016,-4.709692e-06,-3.115055e-06
3436000000.0,0.7889175,-0.3186496,-0.7560574,0.482667,-0.02206525,0.9258143,-0.8143589,0.3114184,3.962744e-07,4.855758e-06
3494000000.0,-0.7504681,0.3673438,-0.2524536,-0.8971435,-0.7922304,-0.5528051,0.2064441,-0.8810968,1.301804e-06,-6.76433e-07
