
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag,S13_Real,S13_Imag,S14_Real,S14_Imag,S21_Real,S21_Imag,S22_Real,S22_Imag,S23_Real,S23_Imag,S24_Real,S24_Imag,S31_Real,S31_Imag,S32_Real,S32_Imag,S33_Real,S33_Imag,S34_Real,S34_Imag,S41_Real,S41_Imag,S42_Real,S42_Imag,S43_Real,S43_Imag,S44_Real,S44_Imag
1000000000.0,-0.7122458,-0.5707133,-0.1039389,-0.5729702,0.3764277,0.4704849,0.18983,0.5445656,-8.571331e-05,1.189911e-05,0.04650818,-0.6794171,0.5371423,0.2696493,0.3994109,0.4143965,0.2086191,0.4734841,0.04553679,0.5289279,0.06863099,-0.6148379,-0.09624425,-0.5207906,0.3381934,0.4126219,0.1915321,0.5126038,-0.4058547,-0.4004477,0.09987079,-0.6262894
1058000000.0,0.7899911,0.463614,0.5725254,0.08253137,-0.5932487,0.08119231,-0.5579307,-0.1285681,4.892103e-06,2.75567e-05,0.6370279,0.1436929,-0.4973774,0.3302664,-0.5568495,0.1271993,-0.4832396,0.1749324,-0.5268055,-0.00163787,0.5650514,0.1727929,0.5216228,0.0774079,-0.4260666,0.3144395,-0.5210226,0.1526295,0.4964415,-0.273789,0.5686366,0.1895907
1116000000.0,-0.8153284,-0.3979692,-0.2622741,0.5188203,0.2380565,-0.5538855,0.4089256,-0.4054396,4.020263e-05,-7.344528e-06,-0.3345854,0.4846294,-0.03605274,-0.6012371,0.1824943,-0.5455844,-0.140881,-0.4996779,0.04770668,-0.5298678,-0.3541998,0.4057439,-0.2417271,0.4716814,-0.2915024,-0.4481396,-0.1151362,-0.5355623,0.1203685,0.5599923,-0.3602389,0.3968371
1174000000.0,0.8471997,0.3124701,-0.4157375,-0.4148892,0.3645616,0.4888846,0.134579,0.5659912,-1.958666e-06,-5.695596e-06,-0.2908519,-0.5090923,0.5514668,0.2600654,0.3856209,0.4354894,0.5126804,-0.1070543,0.5288563,0.09343282,-0.2282281,-0.5060245,-0.374984,-0.3820137,0.4664785,-0.271412,0.5471925,-0.08055247,-0.5767365,-0.03880765,-0.2052601,-0.5040478
1232000000.0,-0.8658119,-0.251114,0.526888,-0.2660559,-0.6075538,0.07271695,-0.5558924,-0.1781527,1.720806e-05,-1.23587e-05,0.5718026,-0.120795,-0.4929646,0.3621082,-0.5714558,0.1190051,0.06387724,0.5193776,-0.144727,0.5173615,0.5543101,-0.07909697,0.4812832,-0.2334815,0.2420019,0.4831233,0.03835031,0.5533681,0.197009,-0.5441998,0.5426061,-0.04611143
1290000000.0,0.8964768,0.1421391,0.08763658,0.586207,0.2391295,-0.5654826,0.4412883,-0.3858083,-4.383369e-06,-1.520965e-05,-0.1025204,0.5788532,-0.08344608,-0.6075054,0.1810471,-0.5570883,-0.5257554,0.01916457,-0.5026895,-0.1972027,-0.1315016,0.5464601,0.06625893,0.5316055,-0.500385,0.211849,-0.5576895,-0.005701015,0.4684653,0.3428264,-0.171464,0.5215417
1348000000.0,-0.893602,-0.05148645,-0.586881,-0.09999296,0.3727523,0.4915727,0.1017169,0.5798822,-1.839064e-05,1.608154e-07,-0.5497705,-0.3260283,0.57662,0.2192101,0.3940766,0.4371568,0.01817373,-0.5281502,0.2426439,-0.4839053,-0.5159635,-0.3399937,-0.5269968,-0.1061047,-0.185732,-0.5132003,0.0464393,-0.5571463,-0.4603218,0.3557147,-0.4750967,-0.3768205
1406000000.0,0.8959402,-0.0389589,0.2822295,-0.5217029,-0.6106749,0.06973337,-0.5425805,-0.2222047,1.098622e-05,7.427292e-06,0.4171351,-0.4936282,-0.4709832,0.3974922,-0.5763043,0.1165583,0.5264821,0.048571,0.4603561,0.2849839,0.4140291,-0.471297,0.2702534,-0.4640437,0.520492,-0.1670177,0.5530485,0.08456165,-0.2148203,-0.540714,0.4437275,-0.4204275
1464000000.0,-0.8802993,0.1091644,0.4024308,0.4361507,0.2551734,-0.5566394,0.4812614,-0.334914,-6.183297e-06,-6.462195e-06,0.3167925,0.4752647,-0.1132416,-0.6052135,0.2003407,-0.5551557,-0.07779635,0.5228621,-0.3233973,0.4375467,0.3084969,0.4482571,0.3526448,0.4080552,0.1508808,0.5263098,-0.117374,0.550921,0.5806363,-0.05837184,0.2398114,0.4665131
1522000000.0,0.881227,-0.1912525,-0.5490376,0.237156,0.335404,0.5130993,0.01807083,0.5903517,1.998827e-05,-4.36246e-06,-0.5576715,-0.06280284,0.5807135,0.2120564,0.3718838,0.4653185,-0.5147619,-0.116643,-0.4078941,-0.3634995,-0.5167148,-0.04499606,-0.5028816,0.2008401,-0.5335326,0.1200948,-0.5435494,-0.1583067,-0.114362,0.570895,-0.495939,-0.1374885
1580000000.0,-0.8342744,0.3022024,-0.06782573,-0.5933565,-0.6090685,0.04351377,-0.5203431,-0.2752665,1.432302e-05,-2.632019e-06,0.3412178,-0.5862153,-0.4554243,0.4146821,-0.5843372,0.107704,0.1445299,-0.5048271,0.3892713,-0.3817151,0.3071913,-0.5465862,-0.0447725,-0.5368042,-0.09813795,-0.5347622,0.1856185,-0.5331596,-0.5156821,-0.2617271,0.4021793,-0.4956219
