
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag
1000000000.0,-0.7126094,-0.5758458,2.607288e-05,-5.26641e-05
1078000000.0,0.7820577,-0.481913,1.914498e-05,1.95915e-06
1156000000.0,0.1923917,0.8859437,1.002791e-05,8.59137e-06
1234000000.0,-0.8901078,-0.1537436,2.00043e-05,-5.472064e-06
1312000000.0,0.4592544,-0.7849079,1.603976e-05,-1.161021e-05
1390000000.0,0.5905539,0.6794739,2.308879e-05,-3.400718e-06
1468000000.0,-0.8373349,0.3036468,-7.342739e-06,-7.971666e-06
1546000000.0,0.01817761,-0.8945906,-3.250018e-06,-3.22634e-06
1624000000.0,0.8330983,0.3089412,-8.542541e-06,1.693423e-05
1702000000.0,-0.5793113,0.6611778,2.054785e-06,1.277517e-08
1780000000.0,-0.407984,-0.7838012,-1.05042e-05,1.236239e-05
1858000000.0,0.8761235,-0.1250961,-1.326398e-06,1.292261e-05
1936000000.0,-0.173601,0.8540776,-5.961163e-06,-4.979252e-06
2014000000.0,-0.7341579,-0.4745081,1.050871e-06,-1.790196e-06
2092000000.0,0.6926381,-0.5350273,3.142916e-06,-4.218786e-06
2170000000.0,0.2639952,0.822163,-1.895167e-05,-5.825444e-06
2248000000.0,-0.8585721,-0.06527501,-4.651532e-06,-1.152995e-07
2326000000.0,0.3599507,-0.79126,-4.462602e-06,1.66549e-05
2404000000.0,0.6122577,0.6074901,-1.107871e-05,-2.153248e-06
2482000000.0,-0.6813666,0.5395938,-1.299032e-05,1.863008e-06
2560000000.0,-0.08687808,-0.8670202,-2.386678e-05,8.593976e-06
2638000000.0,0.8351344,0.2010104,-1.38719e-06,-1.939265e-05
2716000000.0,-0.4782272,0.7037318,-2.476051e-06,-2.624881e-05
2794000000.0,-0.497515,-0.6996566,-2.037969e-05,7.030454e-06
2872000000.0,0.8198621,-0.240245,1.69274e-06,2.366467e-05
2950000000.0,-0.09122613,0.8400291,2.114964e-05,-7.136278e-06
3028000000.0,-0.7562743,-0.3971709,9.176142e-06,1.528137e-07
3106000000.0,0.6244021,-0.5901219,1.090381e-05,2.06035e-06
3184000000.0,0.3265124,0.7842,-2.344329e-05,4.485851e-06
3262000000.0,-0.8554928,0.0287887,-2.288077e-06,1.847345e-06
3340000000.0,0.1979202,-0.8387773,-6.876192e-06,8.95894e-06
3418000000.0,0.6882284,0.4902751,5.029763e-07,-3.183316e-06
3496000000.0,-0.7118024,0.4482864,2.857386e-06,-2.047279e-06
3574000000.0,-0.1893837,-0.8255742,1.403474e-05,-2.442474e-06
3652000000.0,0.8259318,0.1120356,3.524425e-08,6.810714e-07
3730000000.0,-0.4414856,0.7056333,1.730991e-06,1.742085e-05
3808000000.0,-0.533937,-0.6616336,1.06229e-05,5.934314e-06
3886000000.0,0.7921128,-0.305451,-1.955447e-05,-4.492947e-06
3964000000.0,0.002708391,0.8362851,-8.772382e-06,-9.434027e-07
4042000000.0,-0.7953099,-0.2697059,1.092017e-05,2.444629e-06
4120000000.0,0.4840662,-0.6745626,-1.713973e-05,-7.219773e-06
4198000000.0,0.4144758,0.6889913,-1.594829e-06,-1.036051e-05
4276000000.0,-0.8025874,0.09806625,9.832484e-06,9.723034e-06
4354000000.0,0.1853931,-0.7996827,7.302255e-06,1.036379e-05
4432000000.0,0.6753705,0.4625223,-1.030703e-06,3.900343e-06
4510000000.0,-0.694628,0.4569231,-2.180115e-06,-8.749073e-06
4588000000.0,-0.2544965,-0.8072984,4.922224e-06,-3.512384e-06
4666000000.0,0.839161,-0.02006095,-1.21763e-05,-7.048042e-06
4744000000.0,-0.2586931,0.7728488,1.278611e-06,1.380868e-05
4822000000.0,-0.6186335,-0.5084884,-1.451809e-05,7.34552e-07
4900000000.0,0.6973681,-0.3619225,-1.536873e-05,1.120636e-06
4978000000.0,0.08936879,0.7712582,-7.299653e-06,-1.00973e-05
5056000000.0,-0.7626681,-0.2565932,-5.482641e-06,5.449789e-08
5134000000.0,0.5019308,-0.6515108,-4.152658e-06,4.928691e-06
5212000000.0,0.4577253,0.6796834,8.919307e-06,4.672926e-06
5290000000.0,-0.7856354,0.237791,2.739331e-05,1.347992e-06
5368000000.0,0.02002132,-0.8087541,1.153538e-05,1.616185e-05
5446000000.0,0.7128322,0.3268763,-3.757756e-06,1.223487e-05
5524000000.0,-0.5569618,0.5443003,7.529216e-07,1.022453e-05
5602000000.0,-0.2940335,-0.7283447,1.793461e-05,9.807798e-06
5680000000.0,0.7892302,0.04163732,-8.052155e-06,3.760351e-05
5758000000.0,-0.3214065,0.7508841,-3.815062e-06,-1.164176e-05
5836000000.0,-0.6598602,-0.5095216,-2.318702e-05,-7.205218e-07
5914000000.0,0.7083752,-0.4350455,-6.814963e-06,-9.823106e-06
5992000000.0,0.1761975,0.8202088,-2.88291e-05,-4.75035e-06
6070000000.0,-0.838994,0.0005470756,3.298275e-05,-1.204442e-05
6148000000.0,0.3840537,-0.7039777,1.185671e-05,1.117885e-05
6226000000.0,0.4583411,0.6491722,-2.634007e-05,1.80007e-05
6304000000.0,-0.7659206,0.250521,2.553393e-06,5.756838e-06
6382000000.0,0.04573559,-0.8047189,9.250346e-06,-8.06824e-06
6460000000.0,0.7231558,0.3806488,9.31937e-06,-1.777646e-05
6538000000.0,-0.5664812,0.6203561,1.300899e-05,2.305863e-05
6616000000.0,-0.4455365,-0.7116367,-1.743165e-06,-1.665195e-05
6694000000.0,0.8117445,-0.1223287,-7.952473e-06,5.248639e-06
6772000000.0,-0.1795302,0.8008975,1.006311e-05,1.428868e-05
6850000000.0,-0.7071037,-0.3968176,1.048668e-05,4.012833e-06
6928000000.0,0.664596,-0.4262691,-1.025376e-05,2.511536e-06
7006000000.0,0.09884663,0.7911469,-1.33874e-05,9.315876e-06
7084000000.0,-0.8118086,-0.1271027,3.15977e-06,2.788521e-07
7162000000.0,0.4010835,-0.7132859,1.08408e-05,-9.229224e-07
7240000000.0,0.5241742,0.6426287,-1.230067e-05,-1.030203e-05
7318000000.0,-0.7551817,0.3659468,-2.396781e-07,-3.947121e-06
7396000000.0,-0.1256818,-0.803358,-9.858287e-06,4.305889e-06
7474000000.0,0.7253297,0.2580204,-7.177528e-08,1.153845e-06
7552000000.0,-0.5129425,0.5666779,-4.014303e-07,-6.514313e-06
7630000000.0,-0.3294221,-0.6862318,2.80881e-06,4.798033e-06
7708000000.0,0.7667682,-0.01156119,-3.596682e-06,-4.021185e-06
7786000000.0,-0.2429117,0.7516513,-4.600722e-06,-6.729694e-06
7864000000.0,-0.659496,-0.4385401,5.935941e-06,-5.152971e-06
7942000000.0,0.6514513,-0.4678028,-5.199794e-06,-8.542393e-06
8020000000.0,0.07183219,0.7374476,-2.702478e-06,4.58637e-05
8098000000.0,-0.7281544,-0.1736877,2.663863e-05,2.750998e-05
8176000000.0,0.4350138,-0.6102856,-2.233942e-05,-2.545449e-05
8254000000.0,0.4208465,0.6259614,-3.295592e-05,-6.287615e-05
8332000000.0,-0.7168574,0.2155211,-0.0001326566,5.25849e-05
8410000000.0,0.06435813,-0.7413644,4.806544e-05,-3.538124e-06
8488000000.0,0.668677,0.3361934,5.037181e-05,5.605571e-05
8566000000.0,-0.5165798,0.5321095,4.295445e-05,-7.78468e-05
8644000000.0,-0.3187054,-0.6640213,2.638981e-05,8.417354e-06
8722000000.0,0.735504,-0.0360943,-9.581175e-05,-6.482196e-05
8800000000.0,-0.1940545,0.7168585,-2.974568e-05,-0.0001122864
8878000000.0,-0.6118491,-0.4129319,-5.647905e-05,9.302812e-06
8956000000.0,0.626372,-0.4035124,8.335073e-05,-0.000110114
9034000000.0,0.1950215,0.7152042,4.259093e-06,0.0001009164
9112000000.0,-0.7240407,-0.04704743,-3.88334e-06,4.781275e-05
9190000000.0,0.3285359,-0.6591,0.0001094643,-4.724509e-05
9268000000.0,0.5016243,0.5371378,6.834969e-05,-1.865313e-05
9346000000.0,-0.6628606,0.3163811,-3.74181e-05,-1.418072e-05
9424000000.0,-0.05423254,-0.7301346,-3.92853e-05,-4.133417e-05
9502000000.0,0.6991608,0.2123268,0.0001094107,-4.662059e-05
9580000000.0,-0.4328325,0.5868244,8.204019e-06,-3.731669e-05
9658000000.0,-0.4146836,-0.5987946,-2.514117e-05,2.303956e-05
